Rok;Miesiąc;Dzień;Godzina;Temp. 2m [st.C];Wiatr 10m, Prędkość [m/s];Typ Opadu;Wysokość Opadu [mm];Wilgotność względna [%];Długość geograficzna;Szerokość geograficzna
2018;09;02;16;25,858;5,127;;;45;17.049640;51.123614
2018;09;02;17;25,726;5,051;;;44;17.049640;51.123614
2018;09;02;18;24,825;4,343;;;47;17.049640;51.123614
2018;09;02;19;23,654;5,154;;;53;17.049640;51.123614
2018;09;02;20;22,628;5,668;;;54;17.049640;51.123614
2018;09;02;21;21,981;5,534;;;56;17.049640;51.123614
2018;09;02;22;21,407;5,161;;;58;17.049640;51.123614
2018;09;02;23;20,785;4,992;;;60;17.049640;51.123614
2018;09;03;00;20,063;4,773;;;62;17.049640;51.123614
2018;09;03;01;19,365;4,694;;;65;17.049640;51.123614
2018;09;03;02;18,811;4,416;;;66;17.049640;51.123614
2018;09;03;03;17,975;4,078;;;70;17.049640;51.123614
2018;09;03;04;17,704;3,622;;;81;17.049640;51.123614
2018;09;03;05;17,529;3,729;;;82;17.049640;51.123614
2018;09;03;06;17,134;3,547;;;83;17.049640;51.123614
2018;09;03;07;17,669;3,249;;;81;17.049640;51.123614
2018;09;03;08;18,718;3,160;;;77;17.049640;51.123614
2018;09;03;09;20,349;3,081;;;70;17.049640;51.123614
2018;09;03;10;22,032;3,401;;;62;17.049640;51.123614
2018;09;03;11;23,351;4,088;;;55;17.049640;51.123614
2018;09;03;12;24,193;4,446;;;51;17.049640;51.123614
2018;09;03;13;24,819;4,456;;;48;17.049640;51.123614
2018;09;03;14;25,218;4,400;;;47;17.049640;51.123614
2018;09;03;15;25,383;4,337;;;47;17.049640;51.123614
2018;09;03;16;25,288;4,370;;;47;17.049640;51.123614
2018;09;03;17;25,016;3,851;;;48;17.049640;51.123614
2018;09;03;18;24,408;3,682;;;50;17.049640;51.123614
2018;09;03;19;23,110;3,371;;;54;17.049640;51.123614
2018;09;03;20;21,848;3,316;;;58;17.049640;51.123614
2018;09;03;21;21,159;3,322;;;60;17.049640;51.123614
2018;09;03;22;20,374;3,051;;;62;17.049640;51.123614
2018;09;03;23;19,541;3,091;;;65;17.049640;51.123614
2018;09;04;00;18,880;3,143;;;68;17.049640;51.123614
2018;09;04;01;18,411;3,207;;;70;17.049640;51.123614
2018;09;04;02;17,931;3,153;;;73;17.049640;51.123614
2018;09;04;03;17,427;2,433;;;76;17.049640;51.123614
2018;09;04;04;16,855;2,377;;;80;17.049640;51.123614
2018;09;04;05;16,579;2,453;;;82;17.049640;51.123614
2018;09;04;06;16,642;2,189;;;82;17.049640;51.123614
2018;09;04;07;16,928;1,835;;;79;17.049640;51.123614
2018;09;04;08;17,162;1,489;;;77;17.049640;51.123614
2018;09;04;09;18,581;1,135;;;71;17.049640;51.123614
2018;09;04;10;20,972;1,892;;;62;17.049640;51.123614
2018;09;04;11;22,790;2,455;;;55;17.049640;51.123614
2018;09;04;12;23,196;2,596;;;52;17.049640;51.123614
2018;09;04;13;23,115;3,084;;;52;17.049640;51.123614
2018;09;04;14;23,573;3,007;;;51;17.049640;51.123614
2018;09;04;15;23,783;3,159;;;51;17.049640;51.123614
2018;09;04;16;23,758;3,278;;;49;17.049640;51.123614
2018;09;04;17;23,146;3,764;;;50;17.049640;51.123614
2018;09;04;18;22,198;3,515;;;55;17.049640;51.123614
2018;09;04;19;20,622;3,473;;;55;17.049640;51.123614
2018;09;04;20;20,045;4,040;;;57;17.049640;51.123614
2018;09;04;21;19,544;3,985;;;61;17.049640;51.123614
2018;09;04;22;18,869;3,698;;;64;17.049640;51.123614
2018;09;04;23;18,191;3,404;;;68;17.049640;51.123614
2018;09;05;00;17,449;3,045;;;73;17.049640;51.123614
2018;09;05;01;17,197;2,558;;;76;17.049640;51.123614
2018;09;05;02;16,684;2,024;;;79;17.049640;51.123614
2018;09;05;03;16,528;1,827;;;80;17.049640;51.123614
2018;09;05;04;14,246;2,547;;;86;17.049640;51.123614
2018;09;05;05;14,261;2,357;;;89;17.049640;51.123614
2018;09;05;06;13,990;2,061;;;90;17.049640;51.123614
2018;09;05;07;15,378;1,542;;;85;17.049640;51.123614
2018;09;05;08;17,107;1,386;;;79;17.049640;51.123614
2018;09;05;09;18,882;1,630;;;73;17.049640;51.123614
2018;09;05;10;20,381;2,102;;;65;17.049640;51.123614
2018;09;05;11;21,319;2,500;;;58;17.049640;51.123614
2018;09;05;12;22,010;2,564;;;54;17.049640;51.123614
2018;09;05;13;22,528;2,722;;;50;17.049640;51.123614
2018;09;05;14;22,866;2,759;;;49;17.049640;51.123614
2018;09;05;15;22,964;2,801;;;48;17.049640;51.123614
2018;09;05;16;22,855;2,917;;;48;17.049640;51.123614
2018;09;05;17;22,692;2,955;;;46;17.049640;51.123614
2018;09;05;18;21,790;2,841;;;47;17.049640;51.123614
2018;09;05;19;21,007;2,349;;;51;17.049640;51.123614
2018;09;05;20;19,719;2,581;;;56;17.049640;51.123614
2018;09;05;21;18,885;2,903;;;59;17.049640;51.123614
2018;09;05;22;18,231;2,795;;;59;17.049640;51.123614
2018;09;05;23;17,499;2,618;;;63;17.049640;51.123614
2018;09;06;00;16,506;2,369;;;66;17.049640;51.123614
2018;09;06;01;15,816;1,941;;;68;17.049640;51.123614
2018;09;06;02;14,942;1,080;;;73;17.049640;51.123614
2018;09;06;03;14,547;0,428;;;77;17.049640;51.123614
2018;09;06;04;15,489;1,737;;;78;17.049640;51.123614
2018;09;06;05;15,120;1,701;;;83;17.049640;51.123614
2018;09;06;06;14,586;1,179;;;86;17.049640;51.123614
2018;09;06;07;15,353;0,538;;;82;17.049640;51.123614
2018;09;06;08;16,528;0,169;;;77;17.049640;51.123614
2018;09;06;09;18,284;0,456;;;69;17.049640;51.123614
2018;09;06;10;19,894;1,128;;;62;17.049640;51.123614
2018;09;06;11;20,724;1,672;płynny;0,02;59;17.049640;51.123614
2018;09;06;12;20,662;2,020;płynny;0,24;61;17.049640;51.123614
2018;09;06;13;21,243;1,899;płynny;0,22;57;17.049640;51.123614
2018;09;06;14;21,779;1,625;płynny;0,06;52;17.049640;51.123614
2018;09;06;15;22,033;1,485;;;50;17.049640;51.123614
2018;09;06;16;21,963;1,745;;;49;17.049640;51.123614
2018;09;06;17;21,896;2,062;;;49;17.049640;51.123614
2018;09;06;18;20,918;2,368;;;51;17.049640;51.123614
2018;09;06;19;20,094;2,454;;;57;17.049640;51.123614
2018;09;06;20;18,803;2,340;;;62;17.049640;51.123614
2018;09;06;21;17,856;2,278;;;64;17.049640;51.123614
2018;09;06;22;17,038;2,205;;;68;17.049640;51.123614
2018;09;06;23;16,166;1,943;;;73;17.049640;51.123614
2018;09;07;00;15,341;1,681;;;78;17.049640;51.123614
2018;09;07;01;14,469;1,180;;;84;17.049640;51.123614
2018;09;07;02;14,105;0,623;;;86;17.049640;51.123614
2018;09;07;03;13,872;0,497;;;86;17.049640;51.123614
2018;09;07;04;14,297;1,475;;;79;17.049640;51.123614
2018;09;07;05;14,186;1,503;;;82;17.049640;51.123614
2018;09;07;06;13,940;1,538;;;82;17.049640;51.123614
2018;09;07;07;14,967;1,357;;;77;17.049640;51.123614
2018;09;07;08;17,102;1,772;;;69;17.049640;51.123614
2018;09;07;09;19,009;1,861;;;62;17.049640;51.123614
2018;09;07;10;20,735;1,789;;;56;17.049640;51.123614
2018;09;07;11;22,090;1,444;;;51;17.049640;51.123614
2018;09;07;12;23,079;0,821;;;46;17.049640;51.123614
2018;09;07;13;23,725;1,316;;;44;17.049640;51.123614
2018;09;07;14;22,059;2,748;;;55;17.049640;51.123614
2018;09;07;15;23,149;2,105;;;51;17.049640;51.123614
2018;09;07;16;23,371;2,077;;;49;17.049640;51.123614
2018;09;07;17;22,965;2,653;;;53;17.049640;51.123614
2018;09;07;18;21,329;3,360;;;62;17.049640;51.123614
2018;09;07;19;20,542;3,040;;;68;17.049640;51.123614
2018;09;07;20;20,301;2,823;płynny;0,10;71;17.049640;51.123614
2018;09;07;21;19,571;3,117;płynny;0,10;74;17.049640;51.123614
2018;09;07;22;17,821;3,373;płynny;0,21;80;17.049640;51.123614
2018;09;07;23;17,150;3,367;;;86;17.049640;51.123614
2018;09;08;00;16,296;3,399;;;89;17.049640;51.123614
2018;09;08;01;15,435;2,918;;;92;17.049640;51.123614
2018;09;08;02;14,798;3,292;;;92;17.049640;51.123614
2018;09;08;03;14,370;3,415;;;91;17.049640;51.123614
2018;09;08;04;14,734;2,989;;;91;17.049640;51.123614
2018;09;08;05;14,414;3,217;;;93;17.049640;51.123614
2018;09;08;06;13,933;3,937;;;93;17.049640;51.123614
2018;09;08;07;14,643;4,203;;;88;17.049640;51.123614
2018;09;08;08;15,816;3,984;;;82;17.049640;51.123614
2018;09;08;09;17,232;3,895;;;75;17.049640;51.123614
2018;09;08;10;18,173;3,798;;;68;17.049640;51.123614
2018;09;08;11;19,109;3,559;;;62;17.049640;51.123614
2018;09;08;12;19,744;3,217;;;56;17.049640;51.123614
2018;09;08;13;20,144;3,182;;;53;17.049640;51.123614
2018;09;08;14;20,505;2,940;;;50;17.049640;51.123614
2018;09;08;15;20,551;2,820;;;48;17.049640;51.123614
2018;09;08;16;20,542;2,659;;;47;17.049640;51.123614
2018;09;08;17;20,296;2,495;;;47;17.049640;51.123614
2018;09;08;18;19,502;2,459;;;49;17.049640;51.123614
2018;09;08;19;18,572;2,295;;;52;17.049640;51.123614
2018;09;08;20;17,377;2,089;;;54;17.049640;51.123614
2018;09;08;21;16,106;2,018;;;56;17.049640;51.123614
2018;09;08;22;15,392;1,822;;;58;17.049640;51.123614
2018;09;08;23;14,686;1,707;;;57;17.049640;51.123614
2018;09;09;00;14,267;1,528;;;55;17.049640;51.123614
2018;09;09;01;13,485;1,004;;;58;17.049640;51.123614
2018;09;09;02;12,306;1,000;;;65;17.049640;51.123614
2018;09;09;03;12,411;0,927;;;68;17.049640;51.123614
2018;09;09;04;13,496;1,381;;;72;17.049640;51.123614
2018;09;09;05;13,534;1,530;;;74;17.049640;51.123614
2018;09;09;06;13,381;1,602;;;76;17.049640;51.123614
2018;09;09;07;13,752;1,459;;;76;17.049640;51.123614
2018;09;09;08;15,374;1,795;;;70;17.049640;51.123614
2018;09;09;09;17,800;1,391;;;61;17.049640;51.123614
2018;09;09;10;19,613;0,853;;;54;17.049640;51.123614
2018;09;09;11;21,006;0,600;;;49;17.049640;51.123614
2018;09;09;12;22,099;0,732;;;45;17.049640;51.123614
2018;09;09;13;22,623;0,715;;;43;17.049640;51.123614
2018;09;09;14;22,863;0,650;;;42;17.049640;51.123614
2018;09;09;15;23,005;0,519;;;40;17.049640;51.123614
2018;09;09;16;22,999;0,439;;;41;17.049640;51.123614
2018;09;09;17;22,690;1,231;;;43;17.049640;51.123614
2018;09;09;18;21,534;1,623;;;48;17.049640;51.123614
2018;09;09;19;20,477;1,560;;;53;17.049640;51.123614
2018;09;09;20;19,358;1,005;;;58;17.049640;51.123614
2018;09;09;21;18,931;0,119;;;60;17.049640;51.123614
2018;09;09;22;18,177;0,506;;;62;17.049640;51.123614
2018;09;09;23;16,736;1,022;;;62;17.049640;51.123614
2018;09;10;00;14,811;1,625;;;64;17.049640;51.123614
2018;09;10;01;13,391;1,351;;;69;17.049640;51.123614
2018;09;10;02;12,581;1,642;;;70;17.049640;51.123614
2018;09;10;03;11,888;1,659;;;72;17.049640;51.123614
2018;09;10;04;13,680;1,061;;;72;17.049640;51.123614
2018;09;10;05;13,919;0,399;;;73;17.049640;51.123614
2018;09;10;06;13,751;0,312;;;74;17.049640;51.123614
2018;09;10;07;14,366;0,240;;;71;17.049640;51.123614
2018;09;10;08;15,766;0,379;;;65;17.049640;51.123614
2018;09;10;09;17,830;0,365;;;58;17.049640;51.123614
2018;09;10;10;19,720;0,450;;;52;17.049640;51.123614
2018;09;10;11;21,410;0,774;;;48;17.049640;51.123614
2018;09;10;12;22,452;1,014;;;45;17.049640;51.123614
2018;09;10;13;23,293;1,260;;;40;17.049640;51.123614
2018;09;10;14;23,728;1,558;;;36;17.049640;51.123614
2018;09;10;15;23,861;1,934;;;35;17.049640;51.123614
2018;09;10;16;23,796;1,301;;;34;17.049640;51.123614
2018;09;10;17;23,507;0,851;;;36;17.049640;51.123614
2018;09;10;18;22,828;0,608;;;37;17.049640;51.123614
2018;09;10;19;22,321;0,176;;;38;17.049640;51.123614
2018;09;10;20;21,346;0,211;;;40;17.049640;51.123614
2018;09;10;21;20,372;0,921;;;42;17.049640;51.123614
2018;09;10;22;19,310;1,739;;;47;17.049640;51.123614
2018;09;10;23;18,236;2,222;;;52;17.049640;51.123614
2018;09;11;00;17,100;1,916;;;58;17.049640;51.123614
2018;09;11;01;17,416;1,952;;;59;17.049640;51.123614
2018;09;11;02;17,575;2,253;;;57;17.049640;51.123614
2018;09;11;03;18,133;2,708;;;52;17.049640;51.123614
2018;09;11;04;17,929;2,674;;;58;17.049640;51.123614
2018;09;11;05;19,993;3,028;;;52;17.049640;51.123614
2018;09;11;06;18,764;3,879;płynny;0,02;57;17.049640;51.123614
2018;09;11;07;17,969;2,914;płynny;0,18;65;17.049640;51.123614
2018;09;11;08;16,409;2,497;płynny;0,71;78;17.049640;51.123614
2018;09;11;09;16,361;0,574;płynny;0,70;81;17.049640;51.123614
2018;09;11;10;16,567;1,007;płynny;0,19;80;17.049640;51.123614
2018;09;11;11;17,111;0,722;;;75;17.049640;51.123614
2018;09;11;12;18,645;1,312;;;64;17.049640;51.123614
2018;09;11;13;20,022;2,432;;;60;17.049640;51.123614
2018;09;11;14;20,940;2,926;;;60;17.049640;51.123614
2018;09;11;15;21,913;3,357;;;59;17.049640;51.123614
2018;09;11;16;22,552;3,309;;;57;17.049640;51.123614
2018;09;11;17;22,695;2,908;;;57;17.049640;51.123614
2018;09;11;18;21,403;2,802;;;61;17.049640;51.123614
2018;09;11;19;20,803;1,962;;;59;17.049640;51.123614
2018;09;11;20;19,419;2,569;;;52;17.049640;51.123614
2018;09;11;21;18,630;2,658;;;54;17.049640;51.123614
2018;09;11;22;18,387;3,080;;;56;17.049640;51.123614
2018;09;11;23;18,269;3,222;;;54;17.049640;51.123614
2018;09;12;00;18,137;3,152;;;54;17.049640;51.123614
2018;09;12;01;17,507;3,228;;;58;17.049640;51.123614
2018;09;12;02;17,557;3,501;;;61;17.049640;51.123614
2018;09;12;03;17,252;3,472;;;61;17.049640;51.123614
2018;09;12;04;16,932;2,982;;;63;17.049640;51.123614
2018;09;12;05;18,128;3,142;;;62;17.049640;51.123614
2018;09;12;06;17,915;3,108;;;62;17.049640;51.123614
2018;09;12;07;19,372;3,142;;;58;17.049640;51.123614
2018;09;12;08;21,101;2,445;;;53;17.049640;51.123614
2018;09;12;09;23,089;2,031;;;48;17.049640;51.123614
2018;09;12;10;24,714;2,293;;;43;17.049640;51.123614
2018;09;12;11;25,832;2,682;;;39;17.049640;51.123614
2018;09;12;12;26,694;3,074;;;36;17.049640;51.123614
2018;09;12;13;27,379;3,186;;;34;17.049640;51.123614
2018;09;12;14;27,906;3,080;;;32;17.049640;51.123614
2018;09;12;15;28,093;3,048;;;33;17.049640;51.123614
2018;09;12;16;28,089;2,982;;;32;17.049640;51.123614
2018;09;12;17;27,290;2,537;;;33;17.049640;51.123614
2018;09;12;18;25,842;1,816;;;37;17.049640;51.123614
2018;09;12;19;24,440;1,884;;;40;17.049640;51.123614
2018;09;12;20;23,453;2,461;;;43;17.049640;51.123614
2018;09;12;21;20,853;2,620;;;51;17.049640;51.123614
2018;09;12;22;19,841;2,158;;;56;17.049640;51.123614
2018;09;12;23;19,563;2,456;;;59;17.049640;51.123614
2018;09;13;00;17,871;2,335;;;68;17.049640;51.123614
2018;09;13;01;17,264;2,890;;;80;17.049640;51.123614
2018;09;13;02;17,178;2,700;;;91;17.049640;51.123614
2018;09;13;03;17,045;2,519;;;96;17.049640;51.123614
2018;09;13;04;15,037;2,539;;;92;17.049640;51.123614
2018;09;13;05;14,695;2,324;;;93;17.049640;51.123614
2018;09;13;06;14,358;2,377;;;94;17.049640;51.123614
2018;09;13;07;14,019;2,603;;;97;17.049640;51.123614
2018;09;13;08;14,291;2,393;;;96;17.049640;51.123614
2018;09;13;09;14,475;1,974;;;95;17.049640;51.123614
2018;09;13;10;15,337;1,638;;;90;17.049640;51.123614
2018;09;13;11;17,369;1,493;;;81;17.049640;51.123614
2018;09;13;12;19,344;1,083;;;73;17.049640;51.123614
2018;09;13;13;20,849;1,270;;;67;17.049640;51.123614
2018;09;13;14;21,924;1,184;;;63;17.049640;51.123614
2018;09;13;15;22,256;1,705;;;62;17.049640;51.123614
2018;09;13;16;22,042;1,977;;;62;17.049640;51.123614
2018;09;13;17;20,891;2,904;;;63;17.049640;51.123614
2018;09;13;18;20,319;2,897;;;64;17.049640;51.123614
2018;09;13;19;19,326;3,259;płynny;0,51;69;17.049640;51.123614
2018;09;13;20;17,164;4,192;płynny;0,11;70;17.049640;51.123614
2018;09;13;21;15,844;3,452;płynny;0,36;76;17.049640;51.123614
2018;09;13;22;11,565;3,132;płynny;0,72;85;17.049640;51.123614
2018;09;13;23;10,930;2,909;płynny;0,57;91;17.049640;51.123614
2018;09;14;00;12,825;2,557;płynny;0,46;92;17.049640;51.123614
2018;09;14;01;11,286;2,239;płynny;0,42;93;17.049640;51.123614
2018;09;14;02;10,989;1,942;płynny;0,20;93;17.049640;51.123614
2018;09;14;03;10,996;1,629;płynny;0,48;93;17.049640;51.123614
2018;09;14;04;12,001;1,986;płynny;0,50;84;17.049640;51.123614
2018;09;14;05;14,658;1,823;płynny;0,29;87;17.049640;51.123614
2018;09;14;06;14,489;1,569;płynny;0,19;88;17.049640;51.123614
2018;09;14;07;14,160;1,299;płynny;0,90;91;17.049640;51.123614
2018;09;14;08;14,058;1,286;płynny;1,48;93;17.049640;51.123614
2018;09;14;09;14,113;1,656;płynny;1,86;93;17.049640;51.123614
2018;09;14;10;14,256;1,417;płynny;1,69;92;17.049640;51.123614
2018;09;14;11;14,521;1,514;płynny;0,84;91;17.049640;51.123614
2018;09;14;12;14,821;1,744;płynny;0,32;89;17.049640;51.123614
2018;09;14;13;14,996;1,954;;;87;17.049640;51.123614
2018;09;14;14;14,970;2,152;;;87;17.049640;51.123614
2018;09;14;15;15,105;1,903;;;86;17.049640;51.123614
2018;09;14;16;14,991;1,829;;;86;17.049640;51.123614
2018;09;14;17;14,879;1,748;;;85;17.049640;51.123614
2018;09;14;18;14,692;1,527;;;86;17.049640;51.123614
2018;09;14;19;14,600;1,290;;;85;17.049640;51.123614
2018;09;14;20;14,310;1,531;;;84;17.049640;51.123614
2018;09;14;21;13,996;1,761;;;84;17.049640;51.123614
2018;09;14;22;14,004;2,024;;;87;17.049640;51.123614
2018;09;14;23;14,227;2,262;;;88;17.049640;51.123614
2018;09;15;00;14,259;2,365;;;88;17.049640;51.123614
2018;09;15;01;14,260;2,551;;;87;17.049640;51.123614
2018;09;15;02;14,032;2,897;;;87;17.049640;51.123614
2018;09;15;03;14,108;2,700;;;88;17.049640;51.123614
2018;09;15;04;11,401;1,333;;;97;17.049640;51.123614
2018;09;15;05;10,986;0,881;;;98;17.049640;51.123614
2018;09;15;06;10,833;0,835;;;100;17.049640;51.123614
2018;09;15;07;10,828;1,169;;;100;17.049640;51.123614
2018;09;15;08;12,327;1,646;;;94;17.049640;51.123614
2018;09;15;09;15,683;3,010;;;79;17.049640;51.123614
2018;09;15;10;17,283;3,806;;;75;17.049640;51.123614
2018;09;15;11;18,376;5,032;;;61;17.049640;51.123614
2018;09;15;12;18,959;5,465;;;49;17.049640;51.123614
2018;09;15;13;19,055;5,518;;;44;17.049640;51.123614
2018;09;15;14;18,979;5,178;;;44;17.049640;51.123614
2018;09;15;15;18,958;4,779;;;46;17.049640;51.123614
2018;09;15;16;18,830;4,582;;;47;17.049640;51.123614
2018;09;15;17;18,489;3,943;;;48;17.049640;51.123614
2018;09;15;18;17,140;3,372;;;52;17.049640;51.123614
2018;09;15;19;15,814;3,219;;;56;17.049640;51.123614
2018;09;15;20;14,998;3,047;;;60;17.049640;51.123614
2018;09;15;21;14,119;2,772;;;63;17.049640;51.123614
2018;09;15;22;13,792;2,918;;;65;17.049640;51.123614
2018;09;15;23;13,144;3,175;;;67;17.049640;51.123614
2018;09;16;00;12,480;2,903;;;70;17.049640;51.123614
2018;09;16;01;11,808;2,796;;;73;17.049640;51.123614
2018;09;16;02;11,439;2,951;;;75;17.049640;51.123614
2018;09;16;03;11,568;2,841;;;77;17.049640;51.123614
2018;09;16;04;11,430;2,445;;;75;17.049640;51.123614
2018;09;16;05;10,964;2,260;;;77;17.049640;51.123614
2018;09;16;06;10,891;2,309;;;78;17.049640;51.123614
2018;09;16;07;11,741;1,964;;;74;17.049640;51.123614
2018;09;16;08;13,349;1,455;;;69;17.049640;51.123614
2018;09;16;09;15,179;1,106;;;64;17.049640;51.123614
2018;09;16;10;16,606;0,842;;;60;17.049640;51.123614
2018;09;16;11;17,798;0,880;;;55;17.049640;51.123614
2018;09;16;12;18,722;1,041;;;51;17.049640;51.123614
2018;09;16;13;19,414;1,064;;;46;17.049640;51.123614
2018;09;16;14;19,854;0,919;;;44;17.049640;51.123614
2018;09;16;15;20,153;0,689;;;44;17.049640;51.123614
2018;09;16;16;20,305;0,749;;;45;17.049640;51.123614
2018;09;16;17;20,252;1,259;;;45;17.049640;51.123614
2018;09;16;18;19,774;1,911;;;46;17.049640;51.123614
2018;09;16;19;18,982;2,393;;;47;17.049640;51.123614
2018;09;16;20;17,885;2,946;;;51;17.049640;51.123614
2018;09;16;21;16,612;2,847;;;57;17.049640;51.123614
2018;09;16;22;15,543;2,462;;;63;17.049640;51.123614
2018;09;16;23;14,421;1,932;;;66;17.049640;51.123614
2018;09;17;00;13,821;2,055;;;64;17.049640;51.123614
2018;09;17;01;14,341;2,505;;;60;17.049640;51.123614
2018;09;17;02;14,145;2,664;;;60;17.049640;51.123614
2018;09;17;03;13,546;2,554;;;61;17.049640;51.123614
2018;09;17;04;12,372;2,089;;;72;17.049640;51.123614
2018;09;17;05;11,889;2,316;;;71;17.049640;51.123614
2018;09;17;06;13,229;1,852;;;70;17.049640;51.123614
2018;09;17;07;14,190;1,720;;;69;17.049640;51.123614
2018;09;17;08;16,296;1,413;;;64;17.049640;51.123614
2018;09;17;09;18,065;1,184;;;60;17.049640;51.123614
2018;09;17;10;19,993;1,123;;;53;17.049640;51.123614
2018;09;17;11;21,725;1,327;;;47;17.049640;51.123614
2018;09;17;12;22,889;1,071;;;41;17.049640;51.123614
2018;09;17;13;23,628;0,798;;;38;17.049640;51.123614
2018;09;17;14;24,217;0,554;;;36;17.049640;51.123614
2018;09;17;15;24,460;0,337;;;35;17.049640;51.123614
2018;09;17;16;24,566;0,104;;;36;17.049640;51.123614
2018;09;17;17;24,467;0,835;;;37;17.049640;51.123614
2018;09;17;18;23,393;1,904;;;40;17.049640;51.123614
2018;09;17;19;21,405;2,281;;;47;17.049640;51.123614
2018;09;17;20;19,425;2,416;;;54;17.049640;51.123614
2018;09;17;21;18,026;2,258;;;60;17.049640;51.123614
2018;09;17;22;17,704;2,867;;;59;17.049640;51.123614
2018;09;17;23;16,961;2,279;;;64;17.049640;51.123614
2018;09;18;00;16,249;1,774;;;69;17.049640;51.123614
2018;09;18;01;16,009;1,349;;;73;17.049640;51.123614
2018;09;18;02;16,061;1,349;;;74;17.049640;51.123614
2018;09;18;03;15,960;0,959;;;75;17.049640;51.123614
2018;09;18;04;14,822;2,495;;;79;17.049640;51.123614
2018;09;18;05;14,034;2,435;;;81;17.049640;51.123614
2018;09;18;06;14,390;2,566;;;85;17.049640;51.123614
2018;09;18;07;14,762;2,635;;;84;17.049640;51.123614
2018;09;18;08;16,473;2,085;;;76;17.049640;51.123614
2018;09;18;09;19,341;2,522;;;62;17.049640;51.123614
2018;09;18;10;21,212;2,704;;;57;17.049640;51.123614
2018;09;18;11;23,374;3,290;;;51;17.049640;51.123614
2018;09;18;12;24,547;3,888;;;47;17.049640;51.123614
2018;09;18;13;25,489;3,697;;;43;17.049640;51.123614
2018;09;18;14;25,954;3,719;;;42;17.049640;51.123614
2018;09;18;15;26,286;4,083;;;43;17.049640;51.123614
2018;09;18;16;26,054;4,409;;;45;17.049640;51.123614
2018;09;18;17;25,101;4,293;;;47;17.049640;51.123614
2018;09;18;18;24,009;4,889;;;47;17.049640;51.123614
2018;09;18;19;22,698;5,022;;;51;17.049640;51.123614
2018;09;18;20;21,649;4,473;;;55;17.049640;51.123614
2018;09;18;21;20,211;3,940;;;56;17.049640;51.123614
2018;09;18;22;19,471;3,845;;;56;17.049640;51.123614
2018;09;18;23;19,005;3,462;;;57;17.049640;51.123614
2018;09;19;00;18,266;3,211;;;60;17.049640;51.123614
2018;09;19;01;17,589;3,243;;;62;17.049640;51.123614
2018;09;19;02;16,967;3,239;;;63;17.049640;51.123614
2018;09;19;03;16,918;3,255;;;64;17.049640;51.123614
